sentence_id	word_id	word	nfixations	meanpupilsize	ffd	sfd	gd	gpt	trt	ffd_pupilsize	gd_pupilsize	gpt_pupilsize	trt_pupilsize	ffd_t1_mean	ffd_t2_mean	ffd_a1_mean	ffd_a2_mean	ffd_b1_mean	ffd_b2_mean	ffd_g1_mean	ffd_g2_mean	sfd_t1_mean	sfd_t2_mean	sfd_a1_mean	sfd_a2_mean	sfd_b1_mean	sfd_b2_mean	sfd_g1_mean	sfd_g2_mean	gd_t1_mean	gd_t2_mean	gd_a1_mean	gd_a2_mean	gd_b1_mean	gd_b2_mean	gd_g1_mean	gd_g2_mean	gpt_t1_mean	gpt_t2_mean	gpt_a1_mean	gpt_a2_mean	gpt_b1_mean	gpt_b2_mean	gpt_g1_mean	gpt_g2_mean	trt_t1_mean	trt_t2_mean	trt_a1_mean	trt_a2_mean	trt_b1_mean	trt_b2_mean	trt_g1_mean	trt_g2_mean
51	1	They	1.0	979.0	97.0	97.0	97.0	97.0	97.0	979.0	979.0	979.0	979.0	0.434497	0.613214	0.751924	0.887119	1.232937	0.621432	0.400444	0.435083	0.434497	0.613214	0.751924	0.887119	1.232937	0.621432	0.400444	0.435083	0.434497	0.613214	0.751924	0.887119	1.232937	0.621432	0.400444	0.435083	0.434497	0.613214	0.751924	0.887119	1.232937	0.621432	0.400444	0.435083	0.434497	0.613214	0.751924	0.887119	1.232937	0.621432	0.400444	0.435083
51	2	were	1.0	997.0	66.0	66.0	66.0	66.0	66.0	997.0	997.0	997.0	997.0	0.187296	0.434772	0.59519	0.598231	0.410051	0.537867	0.507263	0.416826	0.187296	0.434772	0.59519	0.598231	0.410051	0.537867	0.507263	0.416826	0.187296	0.434772	0.59519	0.598231	0.410051	0.537867	0.507263	0.416826	0.187296	0.434772	0.59519	0.598231	0.410051	0.537867	0.507263	0.416826	0.187296	0.434772	0.59519	0.598231	0.410051	0.537867	0.507263	0.416826
51	3	part	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51	4	of	1.0	1012.0	72.0	72.0	72.0	72.0	72.0	1012.0	1012.0	1012.0	1012.0	0.391615	0.364603	0.31088	0.272506	0.50288	0.450519	0.417429	0.346355	0.391615	0.364603	0.31088	0.272506	0.50288	0.450519	0.417429	0.346355	0.391615	0.364603	0.31088	0.272506	0.50288	0.450519	0.417429	0.346355	0.391615	0.364603	0.31088	0.272506	0.50288	0.450519	0.417429	0.346355	0.391615	0.364603	0.31088	0.272506	0.50288	0.450519	0.417429	0.346355
51	5	the	1.0	1165.0	320.0	320.0	320.0	320.0	320.0	1165.0	1165.0	1165.0	1165.0	0.520786	0.403746	0.613245	0.599125	0.471733	0.596372	0.488506	0.462742	0.520786	0.403746	0.613245	0.599125	0.471733	0.596372	0.488506	0.462742	0.520786	0.403746	0.613245	0.599125	0.471733	0.596372	0.488506	0.462742	0.520786	0.403746	0.613245	0.599125	0.471733	0.596372	0.488506	0.462742	0.520786	0.403746	0.613245	0.599125	0.471733	0.596372	0.488506	0.462742
51	6	Puritan	1.0	1032.0	95.0	95.0	95.0	95.0	95.0	1032.0	1032.0	1032.0	1032.0	0.388932	0.473005	0.24951	0.313572	0.509806	0.624213	0.592576	0.340314	0.388932	0.473005	0.24951	0.313572	0.509806	0.624213	0.592576	0.340314	0.388932	0.473005	0.24951	0.313572	0.509806	0.624213	0.592576	0.340314	0.388932	0.473005	0.24951	0.313572	0.509806	0.624213	0.592576	0.340314	0.388932	0.473005	0.24951	0.313572	0.509806	0.624213	0.592576	0.340314
51	7	movement,	1.0	1108.0	59.0	59.0	59.0	379.0	59.0	1108.0	1108.0	1136.5	1108.0	0.740159	0.634648	0.664302	0.434146	0.348635	0.373517	0.363533	0.347099	0.740159	0.634648	0.664302	0.434146	0.348635	0.373517	0.363533	0.347099	0.740159	0.634648	0.664302	0.434146	0.348635	0.373517	0.363533	0.347099	0.630473	0.519197	0.638773	0.516636	0.410184	0.484944	0.42602	0.40492	0.740159	0.634648	0.664302	0.434146	0.348635	0.373517	0.363533	0.347099
51	8	especially	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51	9	following	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51	10	the	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
