onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.026	0.57	fixation	n/a	413.9	309.2	538.0	n/a	n/a	n/a	n/a
2.06	0.0	trigger_102	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.066	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.074	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.598	0.02	saccade	n/a	413.9	308.9	n/a	367.0	318.1	1.9	163.0
2.62	0.124	fixation	n/a	376.4	316.8	527.0	n/a	n/a	n/a	n/a
2.746	0.016	saccade	n/a	377.4	314.5	n/a	409.5	309.2	1.3	114.0
2.764	0.456	fixation	n/a	404.8	310.5	549.0	n/a	n/a	n/a	n/a
3.222	0.026	saccade	n/a	404.5	306.5	n/a	316.4	303.9	3.51	253.0
3.25	0.134	fixation	n/a	325.2	304.2	591.0	n/a	n/a	n/a	n/a
3.386	0.14	saccade	n/a	327.5	302.9	n/a	-264.6	405.8	21.57	447.0
3.528	0.688	fixation	n/a	-294.8	432.2	616.0	n/a	n/a	n/a	n/a
4.218	0.096	saccade	n/a	-288.6	440.6	n/a	314.2	217.2	23.08	744.0
4.316	0.188	fixation	n/a	349.5	198.0	673.0	n/a	n/a	n/a	n/a
4.506	0.064	saccade	n/a	352.9	193.7	n/a	242.1	141.4	4.92	236.0
4.572	0.176	fixation	n/a	232.3	138.9	653.0	n/a	n/a	n/a	n/a
4.75	0.022	saccade	n/a	232.1	136.5	n/a	196.0	82.2	2.63	188.0
4.774	0.224	fixation	n/a	198.9	69.9	579.0	n/a	n/a	n/a	n/a
5.0	0.024	saccade	n/a	200.8	67.7	n/a	118.6	79.3	3.25	244.0
5.026	0.196	fixation	n/a	132.6	76.2	602.0	n/a	n/a	n/a	n/a
5.224	0.04	saccade	n/a	133.0	76.1	n/a	255.1	74.6	4.81	265.0
5.266	0.182	fixation	n/a	251.7	73.6	624.0	n/a	n/a	n/a	n/a
5.45	0.042	saccade	n/a	251.7	72.3	n/a	428.5	80.8	7.09	290.0
5.494	0.174	fixation	n/a	420.8	79.0	612.0	n/a	n/a	n/a	n/a
5.67	0.042	saccade	n/a	422.6	79.4	n/a	546.9	80.8	4.98	203.0
5.714	0.168	fixation	n/a	536.7	83.5	591.0	n/a	n/a	n/a	n/a
5.884	0.038	saccade	n/a	536.0	89.2	n/a	328.0	98.6	8.35	387.0
5.924	0.252	fixation	n/a	329.1	107.9	617.0	n/a	n/a	n/a	n/a
6.178	0.034	saccade	n/a	329.2	118.3	n/a	402.4	123.3	2.95	160.0
