onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.057	0.17	saccade	n/a	0.0	0.0	n/a	407.1	318.5	5400000.0	469.0
2.057	0.122	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.09	0.0	trigger_104	104	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.096	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.106	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.229	0.172	fixation	n/a	405.6	320.5	1024.0	n/a	n/a	n/a	n/a
2.403	0.184	saccade	n/a	414.8	321.8	n/a	403.7	309.3	0.67	984.0
2.425	0.124	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.589	0.546	fixation	n/a	409.3	317.7	884.0	n/a	n/a	n/a	n/a
3.137	0.006	saccade	n/a	412.7	321.4	n/a	421.0	321.1	0.33	53.0
3.145	0.126	fixation	n/a	426.1	325.6	853.0	n/a	n/a	n/a	n/a
3.273	0.006	saccade	n/a	423.7	324.4	n/a	412.9	320.1	0.46	69.0
3.281	0.678	fixation	n/a	413.0	315.9	930.0	n/a	n/a	n/a	n/a
3.961	0.01	saccade	n/a	410.2	316.3	n/a	387.7	308.3	0.95	99.0
3.973	0.216	fixation	n/a	386.2	300.5	1033.0	n/a	n/a	n/a	n/a
4.191	0.012	saccade	n/a	385.3	300.2	n/a	409.4	302.1	0.96	88.0
4.205	0.09	fixation	n/a	412.2	303.0	1024.0	n/a	n/a	n/a	n/a
4.297	0.048	saccade	n/a	413.4	302.9	n/a	206.4	132.5	10.71	350.0
4.347	0.088	fixation	n/a	211.3	138.7	978.0	n/a	n/a	n/a	n/a
4.437	0.022	saccade	n/a	212.9	140.2	n/a	145.1	88.9	3.38	281.0
4.461	0.06	fixation	n/a	143.6	87.7	937.0	n/a	n/a	n/a	n/a
4.523	0.014	saccade	n/a	143.4	87.0	n/a	122.5	66.2	1.17	104.0
4.539	0.164	fixation	n/a	126.1	67.0	911.0	n/a	n/a	n/a	n/a
4.705	0.006	saccade	n/a	124.8	66.3	n/a	115.6	64.3	0.37	50.0
4.713	0.168	fixation	n/a	116.8	63.9	898.0	n/a	n/a	n/a	n/a
4.883	0.02	saccade	n/a	116.0	63.6	n/a	163.9	57.5	1.88	143.0
4.905	0.134	fixation	n/a	170.6	55.3	910.0	n/a	n/a	n/a	n/a
5.041	0.02	saccade	n/a	170.0	55.9	n/a	219.8	49.6	1.98	149.0
5.063	0.182	fixation	n/a	226.9	50.9	932.0	n/a	n/a	n/a	n/a
5.247	0.02	saccade	n/a	227.3	54.3	n/a	275.8	57.6	1.94	134.0
5.269	0.196	fixation	n/a	288.0	57.5	966.0	n/a	n/a	n/a	n/a
5.467	0.014	saccade	n/a	288.1	57.2	n/a	318.9	59.5	1.24	104.0
5.483	0.202	fixation	n/a	323.6	59.9	970.0	n/a	n/a	n/a	n/a
5.687	0.02	saccade	n/a	322.0	61.0	n/a	367.1	63.1	1.82	130.0
5.709	0.124	fixation	n/a	375.6	62.9	992.0	n/a	n/a	n/a	n/a
5.835	0.018	saccade	n/a	374.5	63.9	n/a	417.3	64.1	1.73	152.0
5.855	0.246	fixation	n/a	423.0	64.7	1004.0	n/a	n/a	n/a	n/a
6.103	0.016	saccade	n/a	425.4	67.4	n/a	463.8	64.2	1.55	125.0
6.121	0.136	fixation	n/a	471.6	63.6	971.0	n/a	n/a	n/a	n/a
6.259	0.016	saccade	n/a	471.8	61.4	n/a	513.5	64.3	1.68	126.0
6.277	0.126	fixation	n/a	521.7	62.0	952.0	n/a	n/a	n/a	n/a
6.405	0.014	saccade	n/a	522.2	60.5	n/a	555.1	60.0	1.31	126.0
6.421	0.236	fixation	n/a	562.5	60.5	971.0	n/a	n/a	n/a	n/a
6.659	0.008	saccade	n/a	563.9	61.7	n/a	582.0	63.4	0.72	85.0
6.669	0.146	fixation	n/a	583.2	63.3	989.0	n/a	n/a	n/a	n/a
6.817	0.056	saccade	n/a	583.2	63.3	n/a	162.6	121.0	16.75	480.0
6.875	0.122	fixation	n/a	174.5	123.3	1017.0	n/a	n/a	n/a	n/a
6.999	0.018	saccade	n/a	176.5	123.6	n/a	128.0	127.6	1.91	162.0
7.019	0.446	fixation	n/a	131.5	134.1	1026.0	n/a	n/a	n/a	n/a
7.467	0.022	saccade	n/a	132.6	136.0	n/a	194.4	130.9	2.43	173.0
7.491	0.202	fixation	n/a	207.3	129.2	1034.0	n/a	n/a	n/a	n/a
7.695	0.022	saccade	n/a	206.0	128.4	n/a	268.8	132.3	2.5	189.0
7.719	0.174	fixation	n/a	271.8	133.2	1053.0	n/a	n/a	n/a	n/a
7.895	0.018	saccade	n/a	272.2	134.8	n/a	320.6	135.7	1.94	162.0
7.915	0.234	fixation	n/a	325.7	133.3	1054.0	n/a	n/a	n/a	n/a
8.151	0.014	saccade	n/a	325.5	132.5	n/a	351.1	130.7	1.03	84.0
8.167	0.33	fixation	n/a	354.4	132.4	1044.0	n/a	n/a	n/a	n/a
8.499	0.02	saccade	n/a	354.5	131.1	n/a	398.7	132.7	1.78	130.0
8.521	0.236	fixation	n/a	408.6	131.0	1040.0	n/a	n/a	n/a	n/a
8.759	0.018	saccade	n/a	409.3	132.7	n/a	456.0	134.1	1.88	130.0
8.779	0.228	fixation	n/a	465.8	132.5	1044.0	n/a	n/a	n/a	n/a
9.009	0.014	saccade	n/a	467.5	131.9	n/a	437.0	127.2	1.24	111.0
9.025	0.248	fixation	n/a	436.7	129.7	1033.0	n/a	n/a	n/a	n/a
9.275	0.016	saccade	n/a	438.1	129.6	n/a	472.1	129.2	1.37	113.0
9.293	0.182	fixation	n/a	476.4	126.2	1028.0	n/a	n/a	n/a	n/a
