onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.03	0.15	fixation	n/a	444.7	207.2	963.0	n/a	n/a	n/a	n/a
2.066	0.0	trigger_113	113	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.068	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.078	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.182	0.016	saccade	n/a	444.6	206.8	n/a	467.1	185.4	1.25	124.0
2.2	0.14	fixation	n/a	468.4	190.5	959.0	n/a	n/a	n/a	n/a
2.342	0.022	saccade	n/a	468.1	189.3	n/a	550.2	190.7	3.28	281.0
2.366	0.236	fixation	n/a	538.7	192.7	947.0	n/a	n/a	n/a	n/a
2.604	0.048	saccade	n/a	540.2	194.6	n/a	352.4	240.3	7.72	366.0
2.654	0.19	fixation	n/a	342.7	239.4	997.0	n/a	n/a	n/a	n/a
2.846	0.024	saccade	n/a	340.2	239.6	n/a	262.6	256.3	3.16	244.0
2.872	0.146	fixation	n/a	270.7	254.1	1038.0	n/a	n/a	n/a	n/a
3.02	0.044	saccade	n/a	267.5	257.4	n/a	164.6	263.6	4.06	299.0
3.066	0.196	fixation	n/a	150.4	266.3	1101.0	n/a	n/a	n/a	n/a
3.264	0.066	saccade	n/a	147.2	267.2	n/a	472.9	255.0	12.86	446.0
3.332	0.16	fixation	n/a	485.5	256.4	1066.0	n/a	n/a	n/a	n/a
3.494	0.024	saccade	n/a	485.7	256.8	n/a	562.5	249.9	3.07	259.0
3.52	0.332	fixation	n/a	551.7	250.8	1020.0	n/a	n/a	n/a	n/a
3.854	0.04	saccade	n/a	555.1	250.8	n/a	463.4	249.4	3.65	330.0
3.896	0.094	fixation	n/a	453.8	249.7	978.0	n/a	n/a	n/a	n/a
3.992	0.132	saccade	n/a	450.6	257.9	n/a	429.0	262.2	0.88	907.0
4.016	0.066	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.126	0.192	fixation	n/a	420.8	257.2	982.0	n/a	n/a	n/a	n/a
4.32	0.052	saccade	n/a	421.8	251.4	n/a	224.2	175.2	8.46	382.0
4.374	0.102	fixation	n/a	222.2	165.0	986.0	n/a	n/a	n/a	n/a
4.478	0.048	saccade	n/a	226.1	158.0	n/a	147.1	108.2	3.7	297.0
4.528	0.118	fixation	n/a	139.0	100.1	978.0	n/a	n/a	n/a	n/a
4.648	0.012	saccade	n/a	137.1	95.5	n/a	118.0	82.7	0.9	89.0
4.662	0.246	fixation	n/a	122.4	83.7	965.0	n/a	n/a	n/a	n/a
4.91	0.02	saccade	n/a	120.9	83.1	n/a	190.8	86.0	2.73	226.0
4.932	0.2	fixation	n/a	198.2	86.4	976.0	n/a	n/a	n/a	n/a
5.134	0.056	saccade	n/a	198.8	88.4	n/a	447.9	90.0	9.94	501.0
5.192	0.26	fixation	n/a	467.7	88.5	999.0	n/a	n/a	n/a	n/a
5.454	0.022	saccade	n/a	467.1	89.0	n/a	528.2	90.0	2.45	197.0
5.478	0.196	fixation	n/a	516.4	93.3	1007.0	n/a	n/a	n/a	n/a
5.676	0.064	saccade	n/a	516.4	95.5	n/a	151.0	151.8	14.62	539.0
5.742	0.232	fixation	n/a	130.6	159.5	1074.0	n/a	n/a	n/a	n/a
5.976	0.01	saccade	n/a	126.1	157.3	n/a	108.6	152.2	0.71	75.0
5.988	0.246	fixation	n/a	115.2	154.5	1089.0	n/a	n/a	n/a	n/a
6.236	0.022	saccade	n/a	116.1	155.8	n/a	193.7	148.7	3.05	248.0
6.26	0.242	fixation	n/a	185.6	150.5	1075.0	n/a	n/a	n/a	n/a
6.504	0.024	saccade	n/a	184.9	149.2	n/a	281.3	140.3	3.84	330.0
6.53	0.244	fixation	n/a	275.5	138.2	1064.0	n/a	n/a	n/a	n/a
6.776	0.022	saccade	n/a	279.0	137.6	n/a	341.8	132.7	2.52	222.0
6.8	0.136	fixation	n/a	335.4	134.3	1064.0	n/a	n/a	n/a	n/a
6.938	0.024	saccade	n/a	336.4	133.7	n/a	432.1	135.7	3.85	286.0
6.964	0.312	fixation	n/a	427.4	140.1	1088.0	n/a	n/a	n/a	n/a
7.278	0.03	saccade	n/a	426.1	141.9	n/a	524.4	144.1	3.95	243.0
7.31	0.31	fixation	n/a	515.3	146.0	1048.0	n/a	n/a	n/a	n/a
7.558	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.572	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.622	0.022	saccade	n/a	514.8	147.2	n/a	568.1	147.6	2.12	165.0
7.646	0.146	fixation	n/a	563.1	146.8	1017.0	n/a	n/a	n/a	n/a
7.794	0.022	saccade	n/a	562.7	146.8	n/a	626.3	150.7	2.51	207.0
7.818	0.092	fixation	n/a	612.7	149.4	993.0	n/a	n/a	n/a	n/a
7.912	0.072	saccade	n/a	613.0	148.6	n/a	151.3	212.6	18.29	510.0
7.986	0.25	fixation	n/a	135.8	215.7	1054.0	n/a	n/a	n/a	n/a
8.238	0.02	saccade	n/a	133.7	219.2	n/a	189.1	207.1	2.22	196.0
8.26	0.284	fixation	n/a	182.2	207.7	1039.0	n/a	n/a	n/a	n/a
8.546	0.054	saccade	n/a	183.9	210.4	n/a	269.2	373.5	7.3	404.0
8.602	0.17	fixation	n/a	275.7	390.9	1063.0	n/a	n/a	n/a	n/a
8.774	0.054	saccade	n/a	275.5	394.3	n/a	456.6	484.5	7.89	468.0
8.83	0.198	fixation	n/a	470.9	497.8	1066.0	n/a	n/a	n/a	n/a
9.03	0.036	saccade	n/a	473.7	501.4	n/a	437.4	531.9	1.81	220.0
9.068	0.12	fixation	n/a	429.2	533.5	971.0	n/a	n/a	n/a	n/a
9.19	0.05	saccade	n/a	429.7	534.4	n/a	154.6	255.0	15.15	567.0
9.242	0.228	fixation	n/a	157.4	241.9	891.0	n/a	n/a	n/a	n/a
9.472	0.022	saccade	n/a	154.9	236.6	n/a	180.0	200.3	1.76	155.0
9.496	0.254	fixation	n/a	186.6	200.7	875.0	n/a	n/a	n/a	n/a
9.752	0.046	saccade	n/a	188.0	203.9	n/a	136.8	89.4	5.02	330.0
9.8	0.136	fixation	n/a	130.4	80.8	855.0	n/a	n/a	n/a	n/a
9.938	0.016	saccade	n/a	126.3	79.6	n/a	119.1	73.3	0.38	73.0
9.956	0.19	fixation	n/a	122.7	76.1	884.0	n/a	n/a	n/a	n/a
10.148	0.032	saccade	n/a	121.0	78.4	n/a	237.8	76.8	4.59	293.0
10.182	0.356	fixation	n/a	226.8	78.1	921.0	n/a	n/a	n/a	n/a
10.54	0.024	saccade	n/a	228.8	81.4	n/a	315.2	87.2	3.46	266.0
10.566	0.394	fixation	n/a	308.0	84.3	1016.0	n/a	n/a	n/a	n/a
10.962	0.024	saccade	n/a	304.4	84.6	n/a	374.4	74.4	2.85	231.0
10.988	0.276	fixation	n/a	369.3	78.2	1046.0	n/a	n/a	n/a	n/a
11.266	0.026	saccade	n/a	371.0	80.9	n/a	449.3	93.1	3.2	234.0
11.294	0.26	fixation	n/a	436.8	97.7	1071.0	n/a	n/a	n/a	n/a
11.432	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.442	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.556	0.022	saccade	n/a	438.6	100.0	n/a	509.5	92.7	2.86	260.0
11.58	0.224	fixation	n/a	498.4	92.3	1050.0	n/a	n/a	n/a	n/a
11.806	0.018	saccade	n/a	498.8	96.0	n/a	540.4	95.7	1.66	153.0
11.826	0.142	fixation	n/a	531.8	94.8	1030.0	n/a	n/a	n/a	n/a
11.97	0.066	saccade	n/a	530.9	94.9	n/a	146.0	144.1	15.34	548.0
12.038	0.282	fixation	n/a	127.3	148.0	1080.0	n/a	n/a	n/a	n/a
12.322	0.028	saccade	n/a	126.2	148.6	n/a	229.9	148.0	4.07	305.0
12.352	0.51	fixation	n/a	220.7	146.0	1067.0	n/a	n/a	n/a	n/a
12.864	0.022	saccade	n/a	221.5	144.0	n/a	291.3	146.2	2.78	263.0
12.888	0.176	fixation	n/a	280.8	147.6	1072.0	n/a	n/a	n/a	n/a
13.066	0.132	saccade	n/a	278.3	148.5	n/a	315.2	171.9	1.76	1092.0
13.092	0.058	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.2	0.214	fixation	n/a	314.2	157.0	1046.0	n/a	n/a	n/a	n/a
13.416	0.014	saccade	n/a	315.5	155.4	n/a	347.8	148.8	1.32	118.0
13.432	0.204	fixation	n/a	342.9	149.7	1041.0	n/a	n/a	n/a	n/a
13.638	0.05	saccade	n/a	345.7	149.2	n/a	172.4	112.0	7.05	354.0
13.69	0.124	fixation	n/a	160.8	109.7	999.0	n/a	n/a	n/a	n/a
13.816	0.022	saccade	n/a	161.1	107.8	n/a	107.2	89.4	2.22	181.0
13.84	0.206	fixation	n/a	117.4	93.2	979.0	n/a	n/a	n/a	n/a
