onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.014	0.354	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.014	0.384	saccade	n/a	0.0	0.0	n/a	254.6	233.3	5400000.0	355.0
2.056	0.0	trigger_103	103	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.056	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.066	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.4	0.176	fixation	n/a	246.5	237.3	1090.0	n/a	n/a	n/a	n/a
2.578	0.046	saccade	n/a	246.1	236.1	n/a	369.2	268.9	5.08	431.0
2.626	0.164	fixation	n/a	385.9	282.3	1013.0	n/a	n/a	n/a	n/a
2.792	0.028	saccade	n/a	389.2	289.4	n/a	405.0	301.1	0.79	129.0
2.822	1.238	fixation	n/a	418.0	330.0	824.0	n/a	n/a	n/a	n/a
4.062	0.006	saccade	n/a	418.6	314.2	n/a	409.4	315.5	0.37	56.0
4.07	0.16	fixation	n/a	408.3	314.1	859.0	n/a	n/a	n/a	n/a
4.232	0.156	saccade	n/a	403.8	315.1	n/a	157.3	145.7	11.88	486.0
4.26	0.074	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.39	0.04	fixation	n/a	157.8	150.1	831.0	n/a	n/a	n/a	n/a
4.432	0.022	saccade	n/a	155.6	144.3	n/a	141.6	99.2	1.9	126.0
4.456	0.128	fixation	n/a	142.5	108.3	834.0	n/a	n/a	n/a	n/a
4.586	0.032	saccade	n/a	141.9	107.6	n/a	184.7	99.5	1.71	186.0
4.62	0.17	fixation	n/a	188.9	95.3	862.0	n/a	n/a	n/a	n/a
4.792	0.038	saccade	n/a	188.4	95.9	n/a	265.3	97.2	3.05	306.0
4.832	0.256	fixation	n/a	275.8	96.8	904.0	n/a	n/a	n/a	n/a
5.09	0.024	saccade	n/a	275.4	99.4	n/a	205.9	92.5	2.78	223.0
5.116	0.132	fixation	n/a	217.1	98.6	921.0	n/a	n/a	n/a	n/a
5.25	0.034	saccade	n/a	216.6	100.7	n/a	276.0	103.4	2.37	250.0
5.286	0.152	fixation	n/a	282.6	100.1	911.0	n/a	n/a	n/a	n/a
5.44	0.038	saccade	n/a	283.3	100.5	n/a	357.1	104.3	2.97	284.0
5.48	0.226	fixation	n/a	366.0	102.1	933.0	n/a	n/a	n/a	n/a
5.708	0.038	saccade	n/a	366.1	104.4	n/a	427.0	104.2	2.46	245.0
5.748	0.118	fixation	n/a	438.8	102.8	905.0	n/a	n/a	n/a	n/a
5.868	0.032	saccade	n/a	441.5	101.1	n/a	490.3	100.9	1.96	219.0
5.902	0.1	fixation	n/a	495.8	96.8	829.0	n/a	n/a	n/a	n/a
6.004	0.06	saccade	n/a	497.4	96.1	n/a	185.7	126.6	12.46	495.0
6.066	0.148	fixation	n/a	169.3	130.1	822.0	n/a	n/a	n/a	n/a
6.216	0.034	saccade	n/a	169.9	130.1	n/a	144.6	137.8	1.04	195.0
6.252	0.124	fixation	n/a	133.1	143.4	857.0	n/a	n/a	n/a	n/a
6.378	0.038	saccade	n/a	133.1	144.4	n/a	208.0	152.9	2.96	285.0
6.418	0.224	fixation	n/a	221.7	154.7	946.0	n/a	n/a	n/a	n/a
6.644	0.032	saccade	n/a	224.0	157.0	n/a	265.3	164.9	1.67	213.0
6.678	0.162	fixation	n/a	273.4	163.5	960.0	n/a	n/a	n/a	n/a
6.842	0.036	saccade	n/a	273.9	163.3	n/a	344.5	168.8	2.84	262.0
6.88	0.192	fixation	n/a	353.8	165.3	908.0	n/a	n/a	n/a	n/a
7.074	0.026	saccade	n/a	353.3	165.3	n/a	435.0	165.6	3.28	237.0
7.102	0.212	fixation	n/a	424.9	164.1	891.0	n/a	n/a	n/a	n/a
7.288	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.294	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.316	0.032	saccade	n/a	427.4	164.2	n/a	477.1	164.8	2.0	202.0
7.35	0.192	fixation	n/a	482.3	161.2	859.0	n/a	n/a	n/a	n/a
7.544	0.028	saccade	n/a	482.5	160.4	n/a	562.9	159.6	3.21	202.0
7.574	0.198	fixation	n/a	557.3	160.3	806.0	n/a	n/a	n/a	n/a
7.774	0.036	saccade	n/a	558.4	160.9	n/a	611.8	154.5	2.13	175.0
7.812	0.1	fixation	n/a	619.5	152.3	762.0	n/a	n/a	n/a	n/a
7.914	0.062	saccade	n/a	620.0	151.3	n/a	184.4	198.9	17.26	519.0
7.978	0.144	fixation	n/a	180.6	203.1	742.0	n/a	n/a	n/a	n/a
8.124	0.02	saccade	n/a	180.2	204.5	n/a	135.8	203.3	1.74	157.0
8.146	0.144	fixation	n/a	144.3	204.8	761.0	n/a	n/a	n/a	n/a
8.292	0.038	saccade	n/a	145.4	208.0	n/a	229.8	218.4	3.34	307.0
8.332	0.228	fixation	n/a	241.4	218.5	849.0	n/a	n/a	n/a	n/a
8.562	0.028	saccade	n/a	242.7	219.8	n/a	332.1	219.6	3.56	272.0
8.592	0.182	fixation	n/a	324.3	219.3	850.0	n/a	n/a	n/a	n/a
8.776	0.046	saccade	n/a	325.6	220.9	n/a	415.1	219.2	3.59	264.0
8.824	0.18	fixation	n/a	426.7	218.7	790.0	n/a	n/a	n/a	n/a
9.006	0.026	saccade	n/a	428.8	218.9	n/a	526.3	220.0	3.9	291.0
9.034	0.128	fixation	n/a	517.8	220.3	754.0	n/a	n/a	n/a	n/a
9.164	0.04	saccade	n/a	517.9	218.7	n/a	349.1	115.6	7.96	411.0
9.206	0.286	fixation	n/a	340.6	110.3	699.0	n/a	n/a	n/a	n/a
9.494	0.05	saccade	n/a	339.2	110.3	n/a	173.8	89.6	6.63	391.0
9.546	0.2	fixation	n/a	155.9	92.4	759.0	n/a	n/a	n/a	n/a
9.748	0.036	saccade	n/a	155.7	94.3	n/a	211.7	94.8	2.21	245.0
9.786	0.212	fixation	n/a	222.5	92.7	848.0	n/a	n/a	n/a	n/a
10.0	0.028	saccade	n/a	222.3	93.8	n/a	297.2	92.3	2.99	245.0
10.03	0.212	fixation	n/a	292.5	91.4	892.0	n/a	n/a	n/a	n/a
10.154	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.158	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.244	0.024	saccade	n/a	293.8	92.1	n/a	350.9	94.9	2.3	172.0
10.27	0.306	fixation	n/a	344.0	93.5	909.0	n/a	n/a	n/a	n/a
10.578	0.022	saccade	n/a	345.9	93.7	n/a	390.5	95.5	1.8	154.0
10.602	0.124	fixation	n/a	380.6	95.5	918.0	n/a	n/a	n/a	n/a
10.728	0.026	saccade	n/a	380.6	94.3	n/a	457.6	98.7	3.1	237.0
10.756	0.16	fixation	n/a	448.6	97.3	913.0	n/a	n/a	n/a	n/a
10.918	0.014	saccade	n/a	452.1	96.7	n/a	479.8	96.4	1.11	102.0
10.934	0.922	fixation	n/a	470.2	103.2	883.0	n/a	n/a	n/a	n/a
11.858	0.018	saccade	n/a	468.2	105.1	n/a	446.3	99.2	0.91	100.0
11.878	0.14	fixation	n/a	452.5	102.1	868.0	n/a	n/a	n/a	n/a
12.02	0.022	saccade	n/a	451.5	102.2	n/a	394.3	98.0	2.31	178.0
12.044	0.316	fixation	n/a	404.6	99.9	889.0	n/a	n/a	n/a	n/a
12.362	0.056	saccade	n/a	406.3	100.8	n/a	174.1	100.5	9.25	458.0
12.42	0.118	fixation	n/a	159.2	104.3	864.0	n/a	n/a	n/a	n/a
12.54	0.036	saccade	n/a	160.4	103.6	n/a	209.0	99.3	1.92	198.0
12.578	0.198	fixation	n/a	216.0	92.3	843.0	n/a	n/a	n/a	n/a
12.778	0.036	saccade	n/a	215.5	93.1	n/a	300.2	93.2	3.38	321.0
12.816	0.18	fixation	n/a	312.2	92.2	833.0	n/a	n/a	n/a	n/a
12.998	0.024	saccade	n/a	313.4	94.0	n/a	386.5	95.9	2.94	221.0
13.024	0.198	fixation	n/a	374.4	99.4	884.0	n/a	n/a	n/a	n/a
13.194	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.198	0.0	trigger_12	12	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.224	0.026	saccade	n/a	374.4	101.2	n/a	454.9	101.6	3.24	233.0
13.252	0.198	fixation	n/a	446.6	100.2	897.0	n/a	n/a	n/a	n/a
13.452	0.022	saccade	n/a	447.0	97.5	n/a	478.5	98.8	1.27	132.0
13.476	0.106	fixation	n/a	473.1	97.9	861.0	n/a	n/a	n/a	n/a
13.584	0.048	saccade	n/a	470.2	97.2	n/a	567.9	209.9	6.01	257.0
13.634	0.03	fixation	n/a	579.6	218.1	608.0	n/a	n/a	n/a	n/a
13.666	0.024	saccade	n/a	582.4	206.4	n/a	574.8	144.2	2.53	126.0
13.692	0.134	fixation	n/a	559.6	110.0	811.0	n/a	n/a	n/a	n/a
13.828	0.064	saccade	n/a	556.0	101.8	n/a	216.5	138.3	13.58	481.0
13.894	0.128	fixation	n/a	204.9	141.6	850.0	n/a	n/a	n/a	n/a
14.024	0.034	saccade	n/a	204.4	141.3	n/a	161.3	144.4	1.7	226.0
14.06	0.088	fixation	n/a	150.8	148.6	855.0	n/a	n/a	n/a	n/a
14.15	0.15	saccade	n/a	155.3	152.3	n/a	268.5	195.5	4.79	682.0
14.18	0.068	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.302	0.322	fixation	n/a	265.6	164.0	908.0	n/a	n/a	n/a	n/a
14.626	0.034	saccade	n/a	265.2	161.5	n/a	336.2	169.6	2.86	267.0
14.662	0.108	fixation	n/a	341.8	165.0	842.0	n/a	n/a	n/a	n/a
14.772	0.032	saccade	n/a	342.4	164.4	n/a	201.4	88.3	6.41	356.0
14.806	0.142	fixation	n/a	197.8	96.5	783.0	n/a	n/a	n/a	n/a
14.95	0.034	saccade	n/a	195.6	97.3	n/a	150.9	91.7	1.77	228.0
14.986	0.452	fixation	n/a	136.8	96.5	872.0	n/a	n/a	n/a	n/a
15.266	0.0	trigger_13	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.44	0.036	saccade	n/a	136.3	98.4	n/a	206.2	100.2	2.74	281.0
15.478	0.266	fixation	n/a	217.5	96.0	973.0	n/a	n/a	n/a	n/a
15.746	0.044	saccade	n/a	218.6	96.1	n/a	307.9	103.4	3.58	249.0
15.792	0.246	fixation	n/a	323.7	105.1	996.0	n/a	n/a	n/a	n/a
16.04	0.024	saccade	n/a	325.3	106.7	n/a	373.1	107.1	1.92	168.0
16.066	0.222	fixation	n/a	363.5	106.8	968.0	n/a	n/a	n/a	n/a
16.29	0.024	saccade	n/a	363.7	106.5	n/a	432.3	105.3	2.77	203.0
16.316	0.15	fixation	n/a	421.9	106.6	972.0	n/a	n/a	n/a	n/a
16.468	0.034	saccade	n/a	421.9	107.1	n/a	467.9	111.8	1.86	229.0
16.504	0.168	fixation	n/a	480.2	108.3	962.0	n/a	n/a	n/a	n/a
16.674	0.058	saccade	n/a	479.5	108.4	n/a	255.7	98.1	8.96	422.0
16.734	0.228	fixation	n/a	237.3	101.1	910.0	n/a	n/a	n/a	n/a
16.964	0.028	saccade	n/a	236.9	101.6	n/a	339.4	104.2	4.1	296.0
16.994	0.496	fixation	n/a	330.8	108.7	962.0	n/a	n/a	n/a	n/a
17.492	0.052	saccade	n/a	330.1	113.6	n/a	181.0	98.2	5.96	406.0
17.546	0.168	fixation	n/a	173.0	98.5	1010.0	n/a	n/a	n/a	n/a
17.716	0.028	saccade	n/a	173.4	99.6	n/a	283.3	106.6	4.37	314.0
17.746	0.096	fixation	n/a	278.9	105.6	1028.0	n/a	n/a	n/a	n/a
17.844	0.048	saccade	n/a	280.2	106.0	n/a	411.8	107.6	5.29	342.0
17.894	0.12	fixation	n/a	430.2	107.4	1041.0	n/a	n/a	n/a	n/a
18.016	0.04	saccade	n/a	430.5	108.9	n/a	510.3	107.3	3.21	314.0
18.058	0.17	fixation	n/a	523.3	105.7	1019.0	n/a	n/a	n/a	n/a
